[2026-09-23T10:48:23.650Z] GET http://192.168.178.24:8000/ → pending (?ms, ?B)
[2026-09-23T10:48:23.867Z] GET http://192.168.178.24:8000/assets/images/brand/logo-white.png?v=2 → 200 (20ms, 59499B)
[2026-09-23T10:48:23.868Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (21ms, 51671B)
[2026-09-23T10:48:23.868Z] GET http://192.168.178.24:8000/assets/images/stock/hero-still.jpg → 200 (23ms, 162187B)
[2026-09-23T10:48:23.868Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (23ms, 19331B)
[2026-09-23T10:48:23.868Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (26ms, 51745B)
[2026-09-23T10:48:23.868Z] GET http://192.168.178.24:8000/assets/images/people/niklas-gruber.jpg → 200 (25ms, 107982B)
[2026-09-23T10:48:23.868Z] GET http://192.168.178.24:8000/assets/images/people/nikolaus-mueller.jpg → 200 (26ms, 78751B)
[2026-09-23T10:48:23.937Z] GET http://192.168.178.24:8000/assets/images/brand/blueprint.svg → 200 (15ms, 1921B)
[2026-09-23T10:48:23.937Z] GET http://192.168.178.24:8000/assets/fonts/inter-latin.woff2 → 200 (94ms, 48256B)
[2026-09-23T10:48:24.014Z] GET http://192.168.178.24:8000/assets/images/stock/hero-video.mp4 → 206 (15ms, ?B)
[2026-09-23T10:48:24.026Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (24ms, 19331B)
[2026-09-23T10:48:24.026Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (25ms, 51745B)
[2026-09-23T10:48:24.027Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (25ms, 51671B)
[2026-09-23T10:48:24.156Z] GET http://192.168.178.24:8000/assets/images/stock/handshake.jpg → 200 (2ms, 274633B)
[2026-09-23T10:49:08.123Z] GET http://192.168.178.24:8000/ → pending (?ms, ?B)
[2026-09-23T10:49:08.315Z] GET http://192.168.178.24:8000/assets/images/brand/logo-white.png?v=2 → 200 (5ms, 59499B)
[2026-09-23T10:49:08.318Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (7ms, 51671B)
[2026-09-23T10:49:08.318Z] GET http://192.168.178.24:8000/assets/images/stock/hero-still.jpg → 200 (13ms, 162187B)
[2026-09-23T10:49:08.318Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (16ms, 19331B)
[2026-09-23T10:49:08.318Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (44ms, 51745B)
[2026-09-23T10:49:08.318Z] GET http://192.168.178.24:8000/assets/images/people/niklas-gruber.jpg → 200 (46ms, 107982B)
[2026-09-23T10:49:08.318Z] GET http://192.168.178.24:8000/assets/images/people/nikolaus-mueller.jpg → 200 (48ms, 78751B)
[2026-09-23T10:49:08.480Z] GET http://192.168.178.24:8000/assets/images/brand/blueprint.svg → 200 (7ms, 1921B)
[2026-09-23T10:49:08.480Z] GET http://192.168.178.24:8000/assets/fonts/inter-latin.woff2 → 200 (131ms, 48256B)
[2026-09-23T10:49:08.513Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (1ms, 19331B)
[2026-09-23T10:49:08.513Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (1ms, 51745B)
[2026-09-23T10:49:08.513Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (1ms, 51671B)
[2026-09-23T10:49:08.608Z] GET http://192.168.178.24:8000/assets/images/stock/handshake.jpg → 200 (2ms, 274633B)
[2026-09-23T10:49:09.883Z] GET http://192.168.178.24:8000/ → 200 (5ms, 71064B)
[2026-09-23T10:49:09.899Z] GET http://192.168.178.24:8000/assets/images/brand/logo-white.png?v=2 → 200 (8ms, 59499B)
[2026-09-23T10:49:09.899Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (10ms, 51671B)
[2026-09-23T10:49:09.899Z] GET http://192.168.178.24:8000/assets/images/stock/hero-still.jpg → 200 (47ms, 162187B)
[2026-09-23T10:49:09.900Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (49ms, 19331B)
